customer_id,churn
CUST_1000,0
CUST_1001,0
CUST_1002,0
CUST_1003,1
CUST_1004,0
CUST_1005,1
CUST_1006,0
CUST_1007,0
CUST_1008,0
CUST_1009,0
CUST_1010,0
CUST_1011,0
CUST_1012,0
CUST_1013,0
CUST_1014,0
CUST_1015,1
CUST_1016,0
CUST_1017,0
CUST_1018,0
CUST_1019,0
CUST_1020,1
CUST_1021,1
CUST_1022,0
CUST_1023,0
CUST_1024,0
CUST_1025,1
CUST_1026,1
CUST_1027,1
CUST_1028,1
CUST_1029,0
CUST_1030,0
CUST_1031,0
CUST_1032,0
CUST_1033,0
CUST_1034,0
CUST_1035,0
CUST_1036,1
CUST_1037,0
CUST_1038,1
CUST_1039,1
CUST_1040,0
CUST_1041,0
CUST_1042,1
CUST_1043,0
CUST_1044,0
CUST_1045,0
CUST_1046,0
CUST_1047,0
CUST_1048,1
CUST_1049,0
CUST_1050,0
CUST_1051,1
CUST_1052,1
CUST_1053,1
CUST_1054,0
CUST_1055,1
CUST_1056,0
CUST_1057,0
CUST_1058,0
CUST_1059,0
CUST_1060,1
CUST_1061,0
CUST_1062,0
CUST_1063,1
CUST_1064,0
CUST_1065,0
CUST_1066,1
CUST_1067,0
CUST_1068,0
CUST_1069,0
CUST_1070,1
CUST_1071,0
CUST_1072,0
CUST_1073,1
CUST_1074,0
CUST_1075,0
CUST_1076,1
CUST_1077,1
CUST_1078,1
CUST_1079,1
CUST_1080,0
CUST_1081,1
CUST_1082,1
CUST_1083,1
CUST_1084,0
CUST_1085,0
CUST_1086,0
CUST_1087,0
CUST_1088,0
CUST_1089,0
CUST_1090,0
CUST_1091,0
CUST_1092,0
CUST_1093,1
CUST_1094,0
CUST_1095,0
CUST_1096,0
CUST_1097,1
CUST_1098,0
CUST_1099,1
CUST_1100,0
CUST_1101,0
CUST_1102,0
CUST_1103,0
CUST_1104,0
CUST_1105,1
CUST_1106,0
CUST_1107,0
CUST_1108,1
CUST_1109,1
CUST_1110,0
CUST_1111,0
CUST_1112,0
CUST_1113,0
CUST_1114,1
CUST_1115,0
CUST_1116,1
CUST_1117,1
CUST_1118,1
CUST_1119,1
CUST_1120,0
CUST_1121,0
CUST_1122,1
CUST_1123,0
CUST_1124,0
CUST_1125,0
CUST_1126,0
CUST_1127,1
CUST_1128,0
CUST_1129,0
CUST_1130,1
CUST_1131,0
CUST_1132,1
CUST_1133,0
CUST_1134,0
CUST_1135,0
CUST_1136,0
CUST_1137,0
CUST_1138,0
CUST_1139,0
CUST_1140,1
CUST_1141,0
CUST_1142,0
CUST_1143,0
CUST_1144,0
CUST_1145,0
CUST_1146,0
CUST_1147,0
CUST_1148,0
CUST_1149,0
CUST_1150,1
CUST_1151,1
CUST_1152,0
CUST_1153,0
CUST_1154,0
CUST_1155,0
CUST_1156,0
CUST_1157,0
CUST_1158,0
CUST_1159,0
CUST_1160,1
CUST_1161,0
CUST_1162,0
CUST_1163,0
CUST_1164,0
CUST_1165,1
CUST_1166,1
CUST_1167,0
CUST_1168,0
CUST_1169,0
CUST_1170,1
CUST_1171,0
CUST_1172,1
CUST_1173,1
CUST_1174,0
CUST_1175,0
CUST_1176,1
CUST_1177,0
CUST_1178,0
CUST_1179,1
CUST_1180,0
CUST_1181,0
CUST_1182,1
CUST_1183,1
CUST_1184,1
CUST_1185,0
CUST_1186,0
CUST_1187,0
CUST_1188,0
CUST_1189,0
CUST_1190,0
CUST_1191,0
CUST_1192,1
CUST_1193,0
CUST_1194,0
CUST_1195,0
CUST_1196,0
CUST_1197,0
CUST_1198,1
CUST_1199,1
CUST_1200,0
CUST_1201,1
CUST_1202,0
CUST_1203,0
CUST_1204,1
CUST_1205,1
CUST_1206,0
CUST_1207,0
CUST_1208,0
CUST_1209,0
CUST_1210,0
